"cda","crr=0.003","crr=0.0035","crr=0.004","crr=0.005","crr=0.006"
"0.28","157.406588610465","159.991925568874","162.577262527284","167.747936444102","172.91861036092"
"0.29","160.97960056812","163.564937526529","166.150274484939","171.320948401756","176.491622318575"
"0.3","164.552612525774","167.137949484184","169.723286442593","174.893960359411","180.064634276229"
"0.31","168.12562448343","170.710961441839","173.296298400248","178.466972317066","183.637646233885"
"0.32","171.698636441084","174.283973399494","176.869310357902","182.03998427472","187.210658191539"
