"cda","crr=0.003","crr=0.0035","crr=0.004","crr=0.005","crr=0.006"
"0.28","123.755572574536","123.755572574536","123.755572574536","123.755572574536","123.755572574536"
"0.29","128.175414452199","128.175414452199","128.175414452199","128.175414452199","128.175414452199"
"0.3","132.595256329861","132.595256329861","132.595256329861","132.595256329861","132.595256329861"
"0.31","137.015098207522","137.015098207522","137.015098207522","137.015098207522","137.015098207522"
"0.32","141.434940085184","141.434940085184","141.434940085184","141.434940085184","141.434940085184"
