"ts";"sid";"in_CdA";"in_Crr";"in_weight_kg";"in_device";"pw";"ci";"prof_CdA";"prof_Crr";"prof_w_kg";"prof_device"
"2025-10-25T11:53:46";"ride3";;;;;"236,25";"12,375";"0,3";"0,005";"82,0";"zwift"
"2025-10-25T11:53:46";"ride3-c01";"0,28";"0,004";"78";"strava";"236,25";"12,375";"0,28";"0,004";"78,0";"strava"
"2025-10-25T11:53:46";"ride3-c02";"0,3";"0,005";"82";"zwift";"236,25";"12,375";"0,3";"0,005";"82,0";"zwift"
"2025-10-25T11:53:46";"ride3-c03";"0,32";"0,004";"78";"garmin";"236,25";"12,375";"0,32";"0,004";"78,0";"garmin"
"2025-10-25T11:53:46";"ride3-c04";"0,28";"0,006";"78";"strava";"236,25";"12,375";"0,28";"0,006";"78,0";"strava"
"2025-10-25T11:53:46";"ride3-c05";"0,28";"0,004";"90";"strava";"236,25";"12,375";"0,28";"0,004";"90,0";"strava"
