"ts";"sid";"in_CdA";"in_Crr";"in_weight_kg";"in_device";"pw";"ci";"prof_CdA";"prof_Crr";"prof_w_kg";"prof_device"
"2025-10-25T11:15:35";"ride3";;;;;"168,75";"12,375";"0,3";"0,005";"82,0";"zwift"
"2025-10-25T11:15:35";"ride3";"0,28";"0,004";"78";"strava";"168,75";"12,375";"0,3";"0,005";"82,0";"zwift"
"2025-10-25T11:15:35";"ride3";"0,3";"0,005";"82";"zwift";"168,75";"12,375";"0,3";"0,005";"82,0";"zwift"
"2025-10-25T11:15:35";"ride3";"0,32";"0,004";"78";"garmin";"168,75";"12,375";"0,3";"0,005";"82,0";"zwift"
"2025-10-25T11:15:35";"ride3";"0,28";"0,006";"78";"strava";"168,75";"12,375";"0,3";"0,005";"82,0";"zwift"
"2025-10-25T11:15:35";"ride3";"0,28";"0,004";"90";"strava";"168,75";"12,375";"0,3";"0,005";"82,0";"zwift"
