"cda","crr=0.003","crr=0.0035","crr=0.004","crr=0.005","crr=0.006"
"0.28","147.568676822311","149.99243022082","152.416183619328","157.263690416346","162.111197213363"
"0.29","150.918375532612","153.342128931121","155.76588232963","160.613389126647","165.460895923664"
"0.3","154.268074242913","156.691827641422","159.115581039931","163.963087836948","168.810594633965"
"0.31","157.617772953215","160.041526351724","162.465279750232","167.312786547249","172.160293344267"
"0.32","160.967471663516","163.391225062025","165.814978460533","170.66248525755","175.509992054568"
