"cda","crr=0.003","crr=0.0035","crr=0.004","crr=0.005","crr=0.006"
"0.28","149.122031315178","151.571297907355","154.020564499532","158.919097683886","163.81763086824"
"0.29","152.506990011903","154.95625660408","157.405523196258","162.304056380611","167.202589564966"
"0.3","155.891948708628","158.341215300806","160.790481892983","165.689015077337","170.587548261691"
"0.31","159.276907405354","161.726173997531","164.175440589708","169.073973774063","173.972506958417"
"0.32","162.66186610208","165.111132694257","167.560399286434","172.458932470788","177.357465655142"
