"cda","crr=0.003","crr=0.0035","crr=0.004","crr=0.005","crr=0.006"
"0.28","152.328956719805","154.830895711814","157.332834703823","162.336712687841","167.340590671858"
"0.29","155.786710227213","158.288649219222","160.790588211231","165.794466195248","170.798344179266"
"0.3","159.24446373462","161.746402726629","164.248341718638","169.252219702656","174.256097686673"
"0.31","162.702217242029","165.204156234037","167.706095226046","172.709973210064","177.713851194082"
"0.32","166.159970749436","168.661909741445","171.163848733454","176.167726717471","181.171604701489"
