distance,heart_rate,timestamp
0.0,104,2025-10-08 15:21:07
25.04,108,2025-10-08 15:21:10
33.48,109,2025-10-08 15:21:11
51.06,112,2025-10-08 15:21:13
68.92,115,2025-10-08 15:21:15
87.56,118,2025-10-08 15:21:17
105.81,121,2025-10-08 15:21:19
114.99,122,2025-10-08 15:21:20
124.24,123,2025-10-08 15:21:21
151.56,126,2025-10-08 15:21:24
160.44,128,2025-10-08 15:21:25
187.19,131,2025-10-08 15:21:28
195.65,132,2025-10-08 15:21:29
203.91,132,2025-10-08 15:21:30
212.06,133,2025-10-08 15:21:31
227.48,134,2025-10-08 15:21:33
242.28,135,2025-10-08 15:21:35
249.68,136,2025-10-08 15:21:36
256.71,137,2025-10-08 15:21:37
270.39,137,2025-10-08 15:21:39
277.14,138,2025-10-08 15:21:40
296.71,139,2025-10-08 15:21:43
309.56,139,2025-10-08 15:21:45
335.77,141,2025-10-08 15:21:49
348.93,141,2025-10-08 15:21:51
368.4,142,2025-10-08 15:21:54
401.5,143,2025-10-08 15:21:59
408.35,143,2025-10-08 15:22:00
428.25,143,2025-10-08 15:22:03
461.54,144,2025-10-08 15:22:08
474.58,144,2025-10-08 15:22:10
493.16,145,2025-10-08 15:22:13
511.33,145,2025-10-08 15:22:16
517.49,145,2025-10-08 15:22:17
536.45,145,2025-10-08 15:22:20
561.6,146,2025-10-08 15:22:24
568.06,146,2025-10-08 15:22:25
616.86,147,2025-10-08 15:22:32
656.34,146,2025-10-08 15:22:37
664.62,146,2025-10-08 15:22:38
724.68,145,2025-10-08 15:22:45
742.5,145,2025-10-08 15:22:47
806.08,145,2025-10-08 15:22:54
870.34,146,2025-10-08 15:23:01
879.61,146,2025-10-08 15:23:02
889.07,146,2025-10-08 15:23:03
935.34,146,2025-10-08 15:23:08
1000.5,146,2025-10-08 15:23:15
1045.88,145,2025-10-08 15:23:20
1054.95,145,2025-10-08 15:23:21
1063.7,145,2025-10-08 15:23:22
1072.39,146,2025-10-08 15:23:23
1098.52,145,2025-10-08 15:23:26
1107.34,145,2025-10-08 15:23:27
1124.4,144,2025-10-08 15:23:29
1157.12,144,2025-10-08 15:23:33
1172.12,144,2025-10-08 15:23:35
1186.74,144,2025-10-08 15:23:37
1193.9,144,2025-10-08 15:23:38
1201.33,144,2025-10-08 15:23:39
1216.25,144,2025-10-08 15:23:41
1239.34,143,2025-10-08 15:23:44
1272.21,142,2025-10-08 15:23:48
1290.08,142,2025-10-08 15:23:50
1326.78,141,2025-10-08 15:23:54
1393.44,140,2025-10-08 15:24:01
1412.48,140,2025-10-08 15:24:03
1480.05,140,2025-10-08 15:24:10
1538.51,140,2025-10-08 15:24:16
1577.5,140,2025-10-08 15:24:20
1627.37,141,2025-10-08 15:24:25
1656.49,141,2025-10-08 15:24:28
1675.3,141,2025-10-08 15:24:30
1738.58,143,2025-10-08 15:24:37
1782.65,143,2025-10-08 15:24:42
1791.29,143,2025-10-08 15:24:43
1800.19,143,2025-10-08 15:24:44
1845.4,144,2025-10-08 15:24:49
1912.02,145,2025-10-08 15:24:56
1921.5,146,2025-10-08 15:24:57
1986.83,146,2025-10-08 15:25:04
2025.09,146,2025-10-08 15:25:08
2085.64,147,2025-10-08 15:25:14
2115.9,147,2025-10-08 15:25:17
2155.88,147,2025-10-08 15:25:21
2192.73,146,2025-10-08 15:25:25
2254.35,145,2025-10-08 15:25:32
2271.0,145,2025-10-08 15:25:34
2304.38,145,2025-10-08 15:25:38
2335.79,146,2025-10-08 15:25:42
2388.01,147,2025-10-08 15:25:49
2395.28,147,2025-10-08 15:25:50
2461.71,150,2025-10-08 15:25:59
2477.36,150,2025-10-08 15:26:01
2524.4,152,2025-10-08 15:26:07
2555.56,152,2025-10-08 15:26:11
2572.21,152,2025-10-08 15:26:13
2624.26,153,2025-10-08 15:26:19
2633.43,153,2025-10-08 15:26:20
2673.25,153,2025-10-08 15:26:24
2736.5,153,2025-10-08 15:26:30
2757.48,152,2025-10-08 15:26:32
2807.27,150,2025-10-08 15:26:37
2874.99,149,2025-10-08 15:26:44
2884.68,149,2025-10-08 15:26:45
2894.56,148,2025-10-08 15:26:46
2914.61,148,2025-10-08 15:26:48
2924.9,148,2025-10-08 15:26:49
2935.54,148,2025-10-08 15:26:50
2956.79,146,2025-10-08 15:26:52
2967.28,145,2025-10-08 15:26:53
2977.6,144,2025-10-08 15:26:54
2987.44,144,2025-10-08 15:26:55
2996.34,143,2025-10-08 15:26:56
3005.09,142,2025-10-08 15:26:57
3022.54,141,2025-10-08 15:26:59
3039.89,141,2025-10-08 15:27:01
3048.84,141,2025-10-08 15:27:02
3058.14,141,2025-10-08 15:27:03
3067.31,141,2025-10-08 15:27:04
3085.46,141,2025-10-08 15:27:06
3123.23,141,2025-10-08 15:27:10
3132.53,141,2025-10-08 15:27:11
3151.34,141,2025-10-08 15:27:13
3170.03,140,2025-10-08 15:27:15
3234.39,140,2025-10-08 15:27:22
3300.01,142,2025-10-08 15:27:29
3309.47,143,2025-10-08 15:27:30
3356.83,146,2025-10-08 15:27:35
3420.99,145,2025-10-08 15:27:42
3484.73,144,2025-10-08 15:27:49
3520.27,145,2025-10-08 15:27:53
3564.87,148,2025-10-08 15:27:58
