distance,heart_rate,timestamp
0.0,82,2025-10-16 07:58:11
0.0,82,2025-10-16 07:58:12
0.0,95,2025-10-16 07:58:13
0.0,98,2025-10-16 07:58:18
0.0,102,2025-10-16 07:58:21
0.0,105,2025-10-16 07:58:24
0.0,108,2025-10-16 07:58:27
0.0,108,2025-10-16 07:58:28
0.0,109,2025-10-16 07:58:30
0.0,109,2025-10-16 07:58:32
0.0,109,2025-10-16 07:58:35
0.0,109,2025-10-16 07:58:38
0.0,106,2025-10-16 07:58:46
0.0,104,2025-10-16 07:58:50
0.0,101,2025-10-16 07:58:56
8.06,102,2025-10-16 07:58:57
8.06,101,2025-10-16 07:58:58
17.24,100,2025-10-16 07:59:00
34.03,101,2025-10-16 07:59:02
48.78,103,2025-10-16 07:59:04
61.17,105,2025-10-16 07:59:06
68.16,106,2025-10-16 07:59:07
90.21,109,2025-10-16 07:59:10
96.9,110,2025-10-16 07:59:11
123.53,113,2025-10-16 07:59:15
153.06,116,2025-10-16 07:59:19
160.99,116,2025-10-16 07:59:20
195.25,118,2025-10-16 07:59:24
215.65,118,2025-10-16 07:59:26
236.36,120,2025-10-16 07:59:28
275.79,122,2025-10-16 07:59:32
302.04,124,2025-10-16 07:59:35
317.63,124,2025-10-16 07:59:37
339.7,124,2025-10-16 07:59:41
343.95,124,2025-10-16 07:59:42
352.64,123,2025-10-16 07:59:44
357.22,123,2025-10-16 07:59:45
361.63,123,2025-10-16 07:59:46
370.68,122,2025-10-16 07:59:48
382.1,122,2025-10-16 07:59:50
388.18,122,2025-10-16 07:59:51
401.21,122,2025-10-16 07:59:53
420.34,122,2025-10-16 07:59:56
464.59,123,2025-10-16 08:00:02
473.95,123,2025-10-16 08:00:03
482.38,123,2025-10-16 08:00:04
498.54,123,2025-10-16 08:00:06
519.93,124,2025-10-16 08:00:09
527.46,124,2025-10-16 08:00:10
551.38,125,2025-10-16 08:00:13
566.37,125,2025-10-16 08:00:15
573.87,125,2025-10-16 08:00:16
616.05,126,2025-10-16 08:00:22
623.05,127,2025-10-16 08:00:23
629.86,127,2025-10-16 08:00:24
642.36,128,2025-10-16 08:00:26
648.62,128,2025-10-16 08:00:27
660.34,128,2025-10-16 08:00:29
672.18,128,2025-10-16 08:00:31
678.15,128,2025-10-16 08:00:32
689.84,128,2025-10-16 08:00:34
713.06,129,2025-10-16 08:00:38
724.2,129,2025-10-16 08:00:40
772.57,131,2025-10-16 08:00:48
778.61,131,2025-10-16 08:00:49
790.66,131,2025-10-16 08:00:51
815.77,132,2025-10-16 08:00:55
834.15,132,2025-10-16 08:00:58
863.63,133,2025-10-16 08:01:03
875.0,132,2025-10-16 08:01:05
886.49,133,2025-10-16 08:01:07
920.05,133,2025-10-16 08:01:13
970.88,136,2025-10-16 08:01:22
983.8,136,2025-10-16 08:01:24
1012.24,137,2025-10-16 08:01:28
1019.6,137,2025-10-16 08:01:29
1066.84,138,2025-10-16 08:01:35
1123.76,137,2025-10-16 08:01:42
1142.26,136,2025-10-16 08:01:44
1176.39,136,2025-10-16 08:01:48
1184.98,136,2025-10-16 08:01:49
1220.13,133,2025-10-16 08:01:53
1238.29,132,2025-10-16 08:01:55
1294.95,129,2025-10-16 08:02:01
1304.81,129,2025-10-16 08:02:02
1324.07,128,2025-10-16 08:02:04
1374.27,127,2025-10-16 08:02:09
1420.22,127,2025-10-16 08:02:14
1431.62,126,2025-10-16 08:02:15
1478.92,127,2025-10-16 08:02:20
1486.53,127,2025-10-16 08:02:21
1516.37,127,2025-10-16 08:02:24
1564.02,127,2025-10-16 08:02:30
1573.95,126,2025-10-16 08:02:32
1578.15,126,2025-10-16 08:02:33
1591.28,124,2025-10-16 08:02:37
1600.59,123,2025-10-16 08:02:39
1612.88,123,2025-10-16 08:02:41
1617.69,123,2025-10-16 08:02:42
1639.78,124,2025-10-16 08:02:45
1647.69,125,2025-10-16 08:02:46
1662.36,126,2025-10-16 08:02:48
1688.91,125,2025-10-16 08:02:51
1698.31,125,2025-10-16 08:02:52
1747.57,124,2025-10-16 08:02:57
1756.65,124,2025-10-16 08:02:58
1775.08,123,2025-10-16 08:03:00
1831.55,124,2025-10-16 08:03:06
1843.25,125,2025-10-16 08:03:07
1883.34,125,2025-10-16 08:03:11
1902.93,125,2025-10-16 08:03:13
1940.34,126,2025-10-16 08:03:17
1960.39,126,2025-10-16 08:03:19
1980.61,126,2025-10-16 08:03:21
2002.48,126,2025-10-16 08:03:23
2022.2,125,2025-10-16 08:03:25
2050.75,126,2025-10-16 08:03:28
2077.76,128,2025-10-16 08:03:31
2086.73,128,2025-10-16 08:03:32
2122.5,129,2025-10-16 08:03:36
2185.96,131,2025-10-16 08:03:43
2242.5,131,2025-10-16 08:03:49
2312.09,131,2025-10-16 08:03:56
2322.05,132,2025-10-16 08:03:57
2382.49,132,2025-10-16 08:04:03
2403.55,133,2025-10-16 08:04:05
2424.64,133,2025-10-16 08:04:07
2467.82,133,2025-10-16 08:04:11
2532.52,132,2025-10-16 08:04:17
2596.15,133,2025-10-16 08:04:23
2627.12,131,2025-10-16 08:04:26
2694.4,130,2025-10-16 08:04:33
2703.65,130,2025-10-16 08:04:34
2755.32,132,2025-10-16 08:04:40
2763.47,132,2025-10-16 08:04:41
2803.47,134,2025-10-16 08:04:46
2827.54,135,2025-10-16 08:04:49
2860.59,136,2025-10-16 08:04:53
2902.6,139,2025-10-16 08:04:58
2910.85,139,2025-10-16 08:04:59
2942.76,141,2025-10-16 08:05:03
2967.05,143,2025-10-16 08:05:06
3002.28,143,2025-10-16 08:05:10
3011.84,143,2025-10-16 08:05:11
3062.12,144,2025-10-16 08:05:16
3072.4,143,2025-10-16 08:05:17
3083.04,144,2025-10-16 08:05:18
3093.87,143,2025-10-16 08:05:19
3126.11,142,2025-10-16 08:05:22
3147.45,142,2025-10-16 08:05:24
3208.54,141,2025-10-16 08:05:30
3237.57,139,2025-10-16 08:05:33
3286.25,136,2025-10-16 08:05:38
3317.88,133,2025-10-16 08:05:41
3328.72,132,2025-10-16 08:05:42
3340.32,130,2025-10-16 08:05:43
3362.98,127,2025-10-16 08:05:45
3373.97,126,2025-10-16 08:05:46
3384.21,126,2025-10-16 08:05:47
3402.05,125,2025-10-16 08:05:49
3420.03,124,2025-10-16 08:05:51
3439.21,123,2025-10-16 08:05:53
3448.6,123,2025-10-16 08:05:54
3504.14,123,2025-10-16 08:06:00
3513.46,123,2025-10-16 08:06:01
3542.05,124,2025-10-16 08:06:04
3551.61,124,2025-10-16 08:06:05
3589.49,124,2025-10-16 08:06:09
3616.64,126,2025-10-16 08:06:12
3653.13,129,2025-10-16 08:06:16
3680.07,132,2025-10-16 08:06:19
3723.74,135,2025-10-16 08:06:24
3766.97,135,2025-10-16 08:06:29
3824.99,136,2025-10-16 08:06:36
3849.22,138,2025-10-16 08:06:39
3916.11,140,2025-10-16 08:06:48
3949.08,140,2025-10-16 08:06:52
3972.23,141,2025-10-16 08:06:55
3980.07,141,2025-10-16 08:06:56
4020.84,141,2025-10-16 08:07:00
4028.92,141,2025-10-16 08:07:02
4071.17,141,2025-10-16 08:07:07
4087.24,142,2025-10-16 08:07:09
4143.74,142,2025-10-16 08:07:16
4151.83,142,2025-10-16 08:07:17
4215.01,141,2025-10-16 08:07:25
4270.23,142,2025-10-16 08:07:32
4326.11,143,2025-10-16 08:07:39
4388.42,144,2025-10-16 08:07:47
4396.27,144,2025-10-16 08:07:48
4427.33,144,2025-10-16 08:07:52
4474.6,144,2025-10-16 08:07:58
4522.35,145,2025-10-16 08:08:04
4530.23,144,2025-10-16 08:08:05
4593.82,145,2025-10-16 08:08:13
4601.61,145,2025-10-16 08:08:14
4666.69,143,2025-10-16 08:08:22
4715.72,143,2025-10-16 08:08:28
4781.25,142,2025-10-16 08:08:36
4846.16,143,2025-10-16 08:08:44
4854.53,143,2025-10-16 08:08:45
4918.0,142,2025-10-16 08:08:53
4926.24,142,2025-10-16 08:08:54
4991.22,139,2025-10-16 08:09:02
5039.19,136,2025-10-16 08:09:08
5061.08,137,2025-10-16 08:09:11
5074.83,137,2025-10-16 08:09:13
5088.15,138,2025-10-16 08:09:15
5107.21,138,2025-10-16 08:09:18
5119.88,138,2025-10-16 08:09:20
5125.84,138,2025-10-16 08:09:21
5131.12,138,2025-10-16 08:09:22
5136.53,138,2025-10-16 08:09:23
5163.67,139,2025-10-16 08:09:28
5169.24,139,2025-10-16 08:09:29
5174.8,139,2025-10-16 08:09:30
5179.99,139,2025-10-16 08:09:31
5184.83,139,2025-10-16 08:09:32
5190.05,139,2025-10-16 08:09:33
5209.49,139,2025-10-16 08:09:37
5224.13,138,2025-10-16 08:09:40
5233.91,139,2025-10-16 08:09:42
5261.49,140,2025-10-16 08:09:48
5271.47,140,2025-10-16 08:09:50
5277.24,140,2025-10-16 08:09:51
5288.57,141,2025-10-16 08:09:53
5298.95,141,2025-10-16 08:09:55
5303.81,142,2025-10-16 08:09:56
5314.31,142,2025-10-16 08:09:58
5349.58,143,2025-10-16 08:10:04
5355.86,143,2025-10-16 08:10:05
5369.1,143,2025-10-16 08:10:07
5382.5,143,2025-10-16 08:10:09
5403.4,142,2025-10-16 08:10:12
5410.18,142,2025-10-16 08:10:13
5416.76,141,2025-10-16 08:10:14
5423.41,141,2025-10-16 08:10:15
5430.11,141,2025-10-16 08:10:16
5443.95,140,2025-10-16 08:10:18
5450.5,140,2025-10-16 08:10:19
5463.33,140,2025-10-16 08:10:21
5469.79,140,2025-10-16 08:10:22
5489.64,140,2025-10-16 08:10:25
5502.51,139,2025-10-16 08:10:27
5515.48,139,2025-10-16 08:10:29
5521.73,140,2025-10-16 08:10:30
5541.49,140,2025-10-16 08:10:33
5560.58,140,2025-10-16 08:10:36
5604.96,141,2025-10-16 08:10:43
5637.38,142,2025-10-16 08:10:48
5675.23,142,2025-10-16 08:10:54
5718.95,144,2025-10-16 08:11:01
5731.45,145,2025-10-16 08:11:03
5737.81,145,2025-10-16 08:11:04
5744.19,145,2025-10-16 08:11:05
5750.81,146,2025-10-16 08:11:06
5787.7,146,2025-10-16 08:11:11
5836.88,145,2025-10-16 08:11:17
5845.24,145,2025-10-16 08:11:18
5873.93,144,2025-10-16 08:11:21
5883.3,143,2025-10-16 08:11:22
5892.47,142,2025-10-16 08:11:23
5901.34,142,2025-10-16 08:11:24
5929.58,140,2025-10-16 08:11:27
5959.55,138,2025-10-16 08:11:30
5990.72,135,2025-10-16 08:11:33
6001.45,134,2025-10-16 08:11:34
6012.25,133,2025-10-16 08:11:35
6023.15,132,2025-10-16 08:11:36
6055.85,130,2025-10-16 08:11:39
6110.43,128,2025-10-16 08:11:44
6132.46,127,2025-10-16 08:11:46
6164.71,123,2025-10-16 08:11:49
6175.24,122,2025-10-16 08:11:50
6185.3,121,2025-10-16 08:11:51
6211.02,119,2025-10-16 08:11:54
6219.89,119,2025-10-16 08:11:55
6237.96,118,2025-10-16 08:11:57
6256.86,119,2025-10-16 08:11:59
6288.01,120,2025-10-16 08:12:02
6320.81,120,2025-10-16 08:12:05
6343.41,120,2025-10-16 08:12:07
6366.44,120,2025-10-16 08:12:09
6378.03,121,2025-10-16 08:12:10
6400.2,121,2025-10-16 08:12:12
6410.49,121,2025-10-16 08:12:13
6420.44,121,2025-10-16 08:12:14
6439.95,121,2025-10-16 08:12:16
6465.1,122,2025-10-16 08:12:19
6472.88,122,2025-10-16 08:12:20
6494.4,125,2025-10-16 08:12:23
6501.2,126,2025-10-16 08:12:24
6521.37,128,2025-10-16 08:12:27
6541.05,130,2025-10-16 08:12:30
6553.2,132,2025-10-16 08:12:32
6564.21,135,2025-10-16 08:12:34
6579.8,138,2025-10-16 08:12:37
6592.72,139,2025-10-16 08:12:39
6604.19,140,2025-10-16 08:12:41
6630.97,143,2025-10-16 08:12:46
6643.18,144,2025-10-16 08:12:48
6656.04,145,2025-10-16 08:12:50
6662.58,145,2025-10-16 08:12:51
6681.86,147,2025-10-16 08:12:54
6712.84,149,2025-10-16 08:12:59
6716.62,149,2025-10-16 08:13:00
6726.48,150,2025-10-16 08:13:02
6744.5,150,2025-10-16 08:13:07
6747.32,150,2025-10-16 08:13:08
6759.54,151,2025-10-16 08:13:12
6780.52,151,2025-10-16 08:13:18
6791.03,152,2025-10-16 08:13:21
6810.44,152,2025-10-16 08:13:27
6836.57,150,2025-10-16 08:13:35
6855.98,149,2025-10-16 08:13:41
6858.57,149,2025-10-16 08:13:42
6879.88,148,2025-10-16 08:13:48
6903.99,148,2025-10-16 08:13:56
6934.71,148,2025-10-16 08:14:06
