distance,heart_rate,timestamp
0.0,109,2025-10-13 13:43:33
5.41,109,2025-10-13 13:43:34
20.05,109,2025-10-13 13:43:36
28.21,109,2025-10-13 13:43:37
46.19,112,2025-10-13 13:43:39
65.51,114,2025-10-13 13:43:41
86.79,118,2025-10-13 13:43:43
108.06,121,2025-10-13 13:43:45
128.63,124,2025-10-13 13:43:47
146.74,127,2025-10-13 13:43:49
165.64,130,2025-10-13 13:43:51
174.79,131,2025-10-13 13:43:52
203.72,134,2025-10-13 13:43:55
230.28,137,2025-10-13 13:43:58
246.68,138,2025-10-13 13:44:00
261.65,139,2025-10-13 13:44:02
270.0,140,2025-10-13 13:44:03
277.86,140,2025-10-13 13:44:04
294.3,141,2025-10-13 13:44:06
302.2,142,2025-10-13 13:44:07
316.16,142,2025-10-13 13:44:09
331.72,143,2025-10-13 13:44:11
347.02,143,2025-10-13 13:44:13
361.55,143,2025-10-13 13:44:15
369.55,144,2025-10-13 13:44:16
408.51,144,2025-10-13 13:44:21
424.2,145,2025-10-13 13:44:23
432.37,145,2025-10-13 13:44:24
456.22,146,2025-10-13 13:44:27
464.12,146,2025-10-13 13:44:28
479.11,147,2025-10-13 13:44:30
515.37,148,2025-10-13 13:44:35
535.5,148,2025-10-13 13:44:38
563.02,148,2025-10-13 13:44:42
577.64,149,2025-10-13 13:44:44
616.24,149,2025-10-13 13:44:49
678.86,148,2025-10-13 13:44:56
687.87,148,2025-10-13 13:44:57
744.72,147,2025-10-13 13:45:03
764.32,147,2025-10-13 13:45:05
813.61,146,2025-10-13 13:45:10
871.73,146,2025-10-13 13:45:16
931.46,145,2025-10-13 13:45:22
971.53,145,2025-10-13 13:45:26
1010.81,144,2025-10-13 13:45:30
1069.2,143,2025-10-13 13:45:36
1116.25,144,2025-10-13 13:45:41
1143.79,144,2025-10-13 13:45:44
1152.36,144,2025-10-13 13:45:45
1169.3,144,2025-10-13 13:45:47
1207.39,144,2025-10-13 13:45:52
1213.05,143,2025-10-13 13:45:53
1217.56,143,2025-10-13 13:45:54
1222.07,143,2025-10-13 13:45:55
1226.79,143,2025-10-13 13:45:56
1231.94,142,2025-10-13 13:45:57
1250.52,141,2025-10-13 13:46:00
1272.86,141,2025-10-13 13:46:03
