distance,heart_rate,timestamp
3297.88,111,2025-10-12 12:29:10
3306.08,110,2025-10-12 12:29:11
3324.83,108,2025-10-12 12:29:13
3334.79,107,2025-10-12 12:29:14
3345.46,107,2025-10-12 12:29:15
3356.57,106,2025-10-12 12:29:16
3366.84,106,2025-10-12 12:29:17
3366.84,105,2025-10-12 12:29:18
3366.84,101,2025-10-12 12:29:21
3419.82,101,2025-10-12 12:29:22
3438.29,100,2025-10-12 12:29:24
3455.98,101,2025-10-12 12:29:26
3474.91,103,2025-10-12 12:29:28
3493.46,106,2025-10-12 12:29:30
3510.59,107,2025-10-12 12:29:32
3518.43,108,2025-10-12 12:29:33
3524.96,109,2025-10-12 12:29:34
3531.99,111,2025-10-12 12:29:35
3538.97,113,2025-10-12 12:29:36
3545.96,114,2025-10-12 12:29:37
3552.93,116,2025-10-12 12:29:38
3566.93,119,2025-10-12 12:29:40
3574.22,120,2025-10-12 12:29:41
3604.44,123,2025-10-12 12:29:45
3636.0,125,2025-10-12 12:29:49
3676.82,128,2025-10-12 12:29:54
3709.64,130,2025-10-12 12:29:58
3734.15,133,2025-10-12 12:30:01
3776.39,136,2025-10-12 12:30:06
3826.99,139,2025-10-12 12:30:12
3843.47,139,2025-10-12 12:30:14
3884.62,141,2025-10-12 12:30:19
3918.31,142,2025-10-12 12:30:23
3951.92,143,2025-10-12 12:30:27
4019.38,145,2025-10-12 12:30:35
4077.54,145,2025-10-12 12:30:42
4118.59,145,2025-10-12 12:30:47
4143.37,145,2025-10-12 12:30:50
4176.67,144,2025-10-12 12:30:54
4193.22,145,2025-10-12 12:30:56
4249.15,145,2025-10-12 12:31:03
4257.33,145,2025-10-12 12:31:04
4273.91,145,2025-10-12 12:31:06
4298.24,144,2025-10-12 12:31:09
4314.27,145,2025-10-12 12:31:11
4329.72,144,2025-10-12 12:31:13
4354.45,145,2025-10-12 12:31:16
4396.12,145,2025-10-12 12:31:21
4413.0,145,2025-10-12 12:31:23
4430.33,145,2025-10-12 12:31:25
4472.5,146,2025-10-12 12:31:30
4480.95,146,2025-10-12 12:31:31
4541.16,148,2025-10-12 12:31:38
4608.46,149,2025-10-12 12:31:46
4616.77,149,2025-10-12 12:31:47
4633.96,150,2025-10-12 12:31:49
4651.54,149,2025-10-12 12:31:51
4677.33,150,2025-10-12 12:31:54
4735.38,150,2025-10-12 12:32:01
4793.2,150,2025-10-12 12:32:08
4809.17,149,2025-10-12 12:32:10
4857.87,150,2025-10-12 12:32:16
4881.66,149,2025-10-12 12:32:19
4922.28,149,2025-10-12 12:32:24
4954.82,149,2025-10-12 12:32:28
4995.8,150,2025-10-12 12:32:33
5020.29,150,2025-10-12 12:32:36
5052.72,150,2025-10-12 12:32:40
5060.71,151,2025-10-12 12:32:41
5091.79,151,2025-10-12 12:32:45
5099.52,150,2025-10-12 12:32:46
5107.26,150,2025-10-12 12:32:47
5115.05,150,2025-10-12 12:32:48
5130.95,150,2025-10-12 12:32:50
5146.94,149,2025-10-12 12:32:52
5155.26,149,2025-10-12 12:32:53
5163.3,149,2025-10-12 12:32:54
5171.17,149,2025-10-12 12:32:55
5178.86,149,2025-10-12 12:32:56
5186.6,148,2025-10-12 12:32:57
5202.31,148,2025-10-12 12:32:59
5217.26,148,2025-10-12 12:33:01
5231.58,147,2025-10-12 12:33:03
5238.28,146,2025-10-12 12:33:04
5243.93,145,2025-10-12 12:33:05
5249.42,144,2025-10-12 12:33:06
5262.03,143,2025-10-12 12:33:08
5268.89,142,2025-10-12 12:33:09
5276.05,142,2025-10-12 12:33:10
5291.63,141,2025-10-12 12:33:12
5347.94,137,2025-10-12 12:33:18
5368.78,135,2025-10-12 12:33:20
5390.22,132,2025-10-12 12:33:22
5421.18,129,2025-10-12 12:33:25
5449.24,128,2025-10-12 12:33:28
5453.45,128,2025-10-12 12:33:29
5459.74,128,2025-10-12 12:33:30
5480.61,129,2025-10-12 12:33:33
5493.85,129,2025-10-12 12:33:35
5505.2,129,2025-10-12 12:33:37
5509.51,130,2025-10-12 12:33:38
5512.65,130,2025-10-12 12:33:39
5516.33,130,2025-10-12 12:33:40
5532.79,130,2025-10-12 12:33:43
5539.04,131,2025-10-12 12:33:44
5551.88,131,2025-10-12 12:33:46
5558.2,131,2025-10-12 12:33:47
5570.86,132,2025-10-12 12:33:49
5583.64,132,2025-10-12 12:33:51
5590.16,132,2025-10-12 12:33:52
5604.02,132,2025-10-12 12:33:54
5618.49,132,2025-10-12 12:33:56
5626.39,133,2025-10-12 12:33:57
5684.79,134,2025-10-12 12:34:04
5710.65,135,2025-10-12 12:34:07
5743.21,138,2025-10-12 12:34:11
5758.35,139,2025-10-12 12:34:13
5779.9,140,2025-10-12 12:34:16
5801.1,141,2025-10-12 12:34:19
5822.22,143,2025-10-12 12:34:22
5858.82,145,2025-10-12 12:34:27
5874.47,146,2025-10-12 12:34:29
5918.75,146,2025-10-12 12:34:34
5928.38,145,2025-10-12 12:34:35
5948.13,145,2025-10-12 12:34:37
5977.64,145,2025-10-12 12:34:40
6016.99,142,2025-10-12 12:34:44
6036.18,141,2025-10-12 12:34:46
6056.08,140,2025-10-12 12:34:48
6087.82,136,2025-10-12 12:34:51
6109.8,135,2025-10-12 12:34:53
6121.44,134,2025-10-12 12:34:54
6133.18,134,2025-10-12 12:34:55
6144.98,133,2025-10-12 12:34:56
6170.0,132,2025-10-12 12:34:58
6183.2,131,2025-10-12 12:34:59
6210.31,128,2025-10-12 12:35:01
6223.92,128,2025-10-12 12:35:02
6238.01,127,2025-10-12 12:35:03
6252.73,126,2025-10-12 12:35:04
6268.01,125,2025-10-12 12:35:05
6283.46,124,2025-10-12 12:35:06
6299.38,124,2025-10-12 12:35:07
6315.22,123,2025-10-12 12:35:08
6330.86,122,2025-10-12 12:35:09
6361.35,119,2025-10-12 12:35:11
6375.97,118,2025-10-12 12:35:12
6431.25,117,2025-10-12 12:35:16
6444.5,117,2025-10-12 12:35:17
6482.8,120,2025-10-12 12:35:20
6507.54,121,2025-10-12 12:35:22
6519.72,122,2025-10-12 12:35:23
6542.99,123,2025-10-12 12:35:25
6554.14,124,2025-10-12 12:35:26
6575.87,124,2025-10-12 12:35:28
6627.41,125,2025-10-12 12:35:33
6675.75,125,2025-10-12 12:35:38
6701.42,124,2025-10-12 12:35:41
6717.26,123,2025-10-12 12:35:43
6732.32,123,2025-10-12 12:35:45
6773.86,125,2025-10-12 12:35:50
6808.53,128,2025-10-12 12:35:54
6834.81,129,2025-10-12 12:35:57
6886.74,132,2025-10-12 12:36:03
6922.82,135,2025-10-12 12:36:07
6948.56,138,2025-10-12 12:36:10
6965.58,139,2025-10-12 12:36:12
6999.14,142,2025-10-12 12:36:16
7024.25,143,2025-10-12 12:36:19
7031.93,143,2025-10-12 12:36:20
7055.3,145,2025-10-12 12:36:23
7092.31,146,2025-10-12 12:36:28
7119.21,145,2025-10-12 12:36:32
7139.35,145,2025-10-12 12:36:35
7146.06,146,2025-10-12 12:36:36
7165.39,146,2025-10-12 12:36:39
7178.86,146,2025-10-12 12:36:41
7192.47,147,2025-10-12 12:36:43
7221.85,147,2025-10-12 12:36:47
7248.3,147,2025-10-12 12:36:51
7254.56,147,2025-10-12 12:36:52
7265.74,147,2025-10-12 12:36:54
7283.26,148,2025-10-12 12:36:57
7289.46,148,2025-10-12 12:36:58
7342.44,148,2025-10-12 12:37:07
7354.5,149,2025-10-12 12:37:09
7382.48,149,2025-10-12 12:37:14
7388.18,149,2025-10-12 12:37:15
7405.2,150,2025-10-12 12:37:18
7427.23,150,2025-10-12 12:37:22
