distance,heart_rate,timestamp
7.14,115.0,2025-10-19 12:51:25
15.26,116.0,2025-10-19 12:51:26
34.13,116.0,2025-10-19 12:51:28
41.3,117.0,2025-10-19 12:51:29
59.11,119.0,2025-10-19 12:51:31
68.11,120.0,2025-10-19 12:51:32
85.97,123.0,2025-10-19 12:51:34
104.05,126.0,2025-10-19 12:51:36
122.06,129.0,2025-10-19 12:51:38
148.89,133.0,2025-10-19 12:51:41
157.42,133.0,2025-10-19 12:51:42
174.51,135.0,2025-10-19 12:51:44
182.87,136.0,2025-10-19 12:51:45
207.51,138.0,2025-10-19 12:51:48
223.3,139.0,2025-10-19 12:51:50
231.32,140.0,2025-10-19 12:51:51
247.15,141.0,2025-10-19 12:51:53
254.33,141.0,2025-10-19 12:51:54
261.45,142.0,2025-10-19 12:51:55
274.38,142.0,2025-10-19 12:51:57
281.16,142.0,2025-10-19 12:51:58
316.66,143.0,2025-10-19 12:52:03
328.57,143.0,2025-10-19 12:52:05
363.17,144.0,2025-10-19 12:52:10
382.31,145.0,2025-10-19 12:52:13
436.81,146.0,2025-10-19 12:52:21
469.53,147.0,2025-10-19 12:52:26
502.84,148.0,2025-10-19 12:52:31
520.63,149.0,2025-10-19 12:52:34
546.37,150.0,2025-10-19 12:52:38
566.39,150.0,2025-10-19 12:52:41
626.22,151.0,2025-10-19 12:52:49
681.98,150.0,2025-10-19 12:52:56
743.18,150.0,2025-10-19 12:53:03
760.8,150.0,2025-10-19 12:53:05
805.44,150.0,2025-10-19 12:53:10
822.97,150.0,2025-10-19 12:53:12
850.62,150.0,2025-10-19 12:53:15
859.46,150.0,2025-10-19 12:53:16
886.63,151.0,2025-10-19 12:53:19
914.55,151.0,2025-10-19 12:53:22
978.94,151.0,2025-10-19 12:53:29
1033.36,152.0,2025-10-19 12:53:35
1069.08,152.0,2025-10-19 12:53:39
1085.25,152.0,2025-10-19 12:53:41
1125.99,152.0,2025-10-19 12:53:46
1133.88,152.0,2025-10-19 12:53:47
1184.95,152.0,2025-10-19 12:53:54
1197.28,151.0,2025-10-19 12:53:56
1211.06,151.0,2025-10-19 12:53:58
1217.93,151.0,2025-10-19 12:53:59
1232.62,151.0,2025-10-19 12:54:01
1248.83,150.0,2025-10-19 12:54:03
1257.46,151.0,2025-10-19 12:54:04
1274.99,150.0,2025-10-19 12:54:06
1302.88,150.0,2025-10-19 12:54:09
1322.55,150.0,2025-10-19 12:54:11
1342.52,150.0,2025-10-19 12:54:13
1381.66,150.0,2025-10-19 12:54:17
1401.33,150.0,2025-10-19 12:54:19
1431.43,150.0,2025-10-19 12:54:22
1451.32,150.0,2025-10-19 12:54:24
1508.58,150.0,2025-10-19 12:54:30
1575.2,151.0,2025-10-19 12:54:37
1614.64,151.0,2025-10-19 12:54:41
1663.17,152.0,2025-10-19 12:54:46
1716.76,153.0,2025-10-19 12:54:52
1778.74,154.0,2025-10-19 12:54:59
1824.54,155.0,2025-10-19 12:55:04
1852.6,155.0,2025-10-19 12:55:07
1881.38,155.0,2025-10-19 12:55:10
1949.31,156.0,2025-10-19 12:55:17
1968.78,156.0,2025-10-19 12:55:19
1988.43,156.0,2025-10-19 12:55:21
2028.3,156.0,2025-10-19 12:55:25
2038.62,156.0,2025-10-19 12:55:26
2070.64,156.0,2025-10-19 12:55:29
2102.36,156.0,2025-10-19 12:55:32
2169.41,156.0,2025-10-19 12:55:39
2178.69,157.0,2025-10-19 12:55:40
2205.41,157.0,2025-10-19 12:55:43
2250.05,156.0,2025-10-19 12:55:48
2317.23,157.0,2025-10-19 12:55:56
2370.18,158.0,2025-10-19 12:56:03
2384.93,158.0,2025-10-19 12:56:05
2420.08,159.0,2025-10-19 12:56:10
2441.33,159.0,2025-10-19 12:56:13
2484.02,160.0,2025-10-19 12:56:19
2543.6,161.0,2025-10-19 12:56:27
2566.43,161.0,2025-10-19 12:56:30
2589.33,161.0,2025-10-19 12:56:33
2640.09,161.0,2025-10-19 12:56:39
2658.46,162.0,2025-10-19 12:56:41
2686.89,162.0,2025-10-19 12:56:44
2696.55,162.0,2025-10-19 12:56:45
2756.51,161.0,2025-10-19 12:56:51
2825.0,161.0,2025-10-19 12:56:58
2834.47,161.0,2025-10-19 12:56:59
2891.01,161.0,2025-10-19 12:57:05
2910.9,161.0,2025-10-19 12:57:07
